text,sentiment,category
Will order from them again!,1,Praise/Support
If you plan to use this in a car forget about it.,0,Abusive/Hate/Threat
I found this product to be waaay too big.,0,Abusive/Hate/Threat
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,Praise/Support
I'm very disappointed with my decision.,0,Abusive/Hate/Threat
Integrated seamlessly with the Motorola RAZR phone.,1,Praise/Support
"Buyer Beware, you could flush money right down the toilet.",0,Spam/Irrelevant
Definitely a bargain.,1,Praise/Support
The price was very good and with the free shipping and all it was a good purchase.,1,Spam/Irrelevant
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,Abusive/Hate/Threat
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,Praise/Support
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,Abusive/Hate/Threat
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,Emotional
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,Constructive Criticism
I purcashed this for the car charger and it does not work.,0,Abusive/Hate/Threat
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,Praise/Support
This phone is slim and light and the display is beautiful.,1,Praise/Support
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,Praise/Support
"Great product, fast shipping!.",1,Praise/Support
Absolutely great.,1,Praise/Support
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,Praise/Support
i got this phone around the end of may and i'm completely unhappy with it.,0,Abusive/Hate/Threat
It is very comfortable on the ear.,1,Praise/Support
It has been a winner for us.,1,Praise/Support
)Setup couldn't have been simpler.,1,Praise/Support
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,Praise/Support
Could not get strong enough signal.,0,Question/Suggestion
Iam very pleased with my purchase.,1,Praise/Support
Bad Quality.,0,Abusive/Hate/Threat
Gets the job done.,1,Praise/Support
Great audio!.,1,Praise/Support
Basically the service was very bad.,0,Abusive/Hate/Threat
it did not work in my cell phone plug i am very up set with the charger!.,0,Abusive/Hate/Threat
"I've only had my bluetooth for a few weeks, but I really like it.",1,Praise/Support
The BT headset was such a disapoinment.,0,Abusive/Hate/Threat
It is so small and you don't even realize that it is there after a while of getting used to it.,1,Praise/Support
The accompanied software is almost brilliant.,1,Praise/Support
Headset works great & was packaged nicely to avoid any damage.,1,Praise/Support
!I definitly recommend!!,1,Praise/Support
Buyer--Be Very Careful!!!!!.,0,Spam/Irrelevant
The majority of the Logitech earbud headsets failed.,0,Abusive/Hate/Threat
Very good stuff for the price.,1,Praise/Support
My headset works just peachy-keen.,1,Praise/Support
In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,Abusive/Hate/Threat
Voice recognition is tremendous!,1,Praise/Support
What a waste.,0,Abusive/Hate/Threat
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,Abusive/Hate/Threat
I was not happy with this item.,0,Abusive/Hate/Threat
very disappointed.,0,Abusive/Hate/Threat
The phone takes FOREVER to charge like 2 to 5 hours literally.,0,Abusive/Hate/Threat
I got this phone on reccomendation from a relative and I'm glad I did.,1,Praise/Support
What a waste of time!,0,Abusive/Hate/Threat
Its reception is very very poor.,0,Abusive/Hate/Threat
Items stated as included from the description ARE NOT INCLUDED.,0,Abusive/Hate/Threat
"After 3 months, screen just went black all of a sudden.",0,Abusive/Hate/Threat
I Was Hoping for More.,0,Abusive/Hate/Threat
"Audio Quality is poor, very poor.",0,Abusive/Hate/Threat
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,Praise/Support
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,Praise/Support
I've bought $5 wired headphones that sound better than these.,0,Abusive/Hate/Threat
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,Praise/Support
"Nice quality build, unlike some cheap s*** out there.",1,Praise/Support
This item is fantastic and works perfectly!,1,Praise/Support
And I just love the colors!,1,Emotional
W810i is just SUPERB.,1,Praise/Support
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,Abusive/Hate/Threat
Great charger.,1,Praise/Support
This is essentially a communications tool that does not communicate.,0,Abusive/Hate/Threat
Works like a charm; it work the same as the one I got with the phone.,1,Praise/Support
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,Abusive/Hate/Threat
Great Value.,1,Praise/Support
Doesn't work at all.. I bougth it for my L7c and its not working.,0,Abusive/Hate/Threat
"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,Praise/Support
doesn't last long.,0,Abusive/Hate/Threat
One thing I hate is the mode set button at the side.,0,Abusive/Hate/Threat
EXCELLENT SERVICE!!!!!!!!.,1,Praise/Support
Thank you for wasting my money.,0,Abusive/Hate/Threat
How can that be?The audio quality is poor.,0,Question/Suggestion
The iGo chargers and tips are really great.,1,Praise/Support
The file browser offers all the options that one needs.Handsfree is great.,1,Spam/Irrelevant
Superb Phone on a Great Network.,1,Praise/Support
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,Praise/Support
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,Abusive/Hate/Threat
It only recognizes the Phone as its storage device.,0,Abusive/Hate/Threat
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,Abusive/Hate/Threat
Don't buy this product.,0,Spam/Irrelevant
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,Abusive/Hate/Threat
The sound quality is good and functionality is awesome.,1,Praise/Support
"I have this phone and it is a thorn in my side, I really abhor it.",0,Abusive/Hate/Threat
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,Abusive/Hate/Threat
Incredible!.,1,Praise/Support
Design Flaw?.,0,Question/Suggestion
Great phone!.,1,Praise/Support
Waste of 13 bucks.,0,Abusive/Hate/Threat
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,Constructive Criticism
The replacement died in a few weeks.,0,Abusive/Hate/Threat
Any ring tone..Overall good phone to buy..,1,Spam/Irrelevant
Lately they have been extremely nice and helpful on the phone.,1,Praise/Support
I have had problems wit hit dropping signal and more.,0,Abusive/Hate/Threat
Not impressed.,0,Abusive/Hate/Threat
"Light weight, I hardly notice it is there.",1,Praise/Support
You'll love how thin it is.,1,Emotional
Bad Choice.,0,Abusive/Hate/Threat
The pleather case doesn't fit.,0,Abusive/Hate/Threat
"useless phone, simply deaf.",0,Abusive/Hate/Threat
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,Praise/Support
All in all I think it was a good investment.,1,Praise/Support
It makes very strange ticking noises before it ends the call.,0,Abusive/Hate/Threat
The best electronics of the available FM Transmitters.,1,Praise/Support
Battery lasts only a few hours.,0,Abusive/Hate/Threat
"great headset, very impressed - H500.",1,Praise/Support
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,Praise/Support
I've had this for nearly 2 years and it has worked great for me.,1,Praise/Support
Good transmit audio.,1,Praise/Support
We are sending it back.,0,Abusive/Hate/Threat
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,Constructive Criticism
"If you hate earbugs, avoid this phone by all means.",0,Abusive/Hate/Threat
Great price also!,1,Praise/Support
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,Praise/Support
fast service.,1,Praise/Support
I would highly recommend this.,1,Praise/Support
I would recommend this.,1,Praise/Support
"I also didn't like the ""on"" button, it felt like it would crack with use.",0,Constructive Criticism
WORST PHONE EVER.,0,Abusive/Hate/Threat
I'm still infatuated with this phone.,1,Praise/Support
Freezes frequently4.,0,Spam/Irrelevant
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,Abusive/Hate/Threat
"Simple, lightweight and great fit.",1,Praise/Support
"All in all, I'd expected a better consumer experience from Motorola.",0,Abusive/Hate/Threat
There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,Abusive/Hate/Threat
These are certainly very comfortable and functionality is decent.,1,Praise/Support
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,Praise/Support
I'm a bit disappointed.,0,Abusive/Hate/Threat
"I have had this phone for over a year now, and I will tell you, its not that great.",0,Abusive/Hate/Threat
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,Constructive Criticism
The battery is completely useless to me.,0,Abusive/Hate/Threat
What a big waste of time.,0,Abusive/Hate/Threat
Don't waste your $$$ on this one.,0,Abusive/Hate/Threat
Great sound and service.,1,Praise/Support
Really pleased with this product so far.,1,Praise/Support
One of my favorite purchases ever.,1,Praise/Support
best bluetooth on the market.,1,Praise/Support
Authentic leather with nice shine and comfort .I recommend you this case !!,1,Praise/Support
I was very excited to get this headset because I thought it was really cute.,1,Praise/Support
Do not make the same mistake as me.,0,Abusive/Hate/Threat
Big Disappointment with calendar sync.,0,Abusive/Hate/Threat
the phone was unusable and was not new.,0,Abusive/Hate/Threat
Worst Customer Service Ever.,0,Abusive/Hate/Threat
"No additional ear gels provided, and no instructions whatsoever.",0,Abusive/Hate/Threat
It defeats the purpose of a bluetooth headset.,0,Abusive/Hate/Threat
Worth every penny.,1,Praise/Support
Excellent wallet type phone case.,1,Praise/Support
Nice headphones for the price and they work great!,1,Praise/Support
Internet is excrutiatingly slow.,0,Abusive/Hate/Threat
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,Praise/Support
"It's fits like a glove and is strong, secure, and durable.",1,Emotional
O my gosh the best phone I have ever had.,1,Praise/Support
It's very attractive and appears to be of good quality.,1,Praise/Support
I love all the features and form factor.,1,Emotional
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,Abusive/Hate/Threat
poor quality and service.,0,Abusive/Hate/Threat
"The cable looks so thin and flimsy, it is scary.",0,Abusive/Hate/Threat
Great Earpiece.,1,Praise/Support
Excellent hands free tool.,1,Spam/Irrelevant
Great for using with your home stereo.,1,Praise/Support
Good product - incredible value.,1,Praise/Support
Only had this a month but it's worked flawlessly so far.,1,Praise/Support
Works great.,1,Praise/Support
Absolutel junk.,0,Abusive/Hate/Threat
THAT one didn't work either.,0,Abusive/Hate/Threat
Battery life is real good.,1,Praise/Support
Returned 8 hours later.,0,Abusive/Hate/Threat
It's a great item.,1,Praise/Support
Don't waste your money!.,0,Abusive/Hate/Threat
Love this headset!,1,Emotional
"Not only will it drain your player, but may also potentially fry it.",0,Constructive Criticism
Worked perfectly!,1,Praise/Support
Unreliable - I'm giving up.,0,Abusive/Hate/Threat
I gave it 5 stars because of the sound quality.,1,Praise/Support
Avoid this one if you can.,0,Abusive/Hate/Threat
Reversible plug works great.,1,Praise/Support
I wasted my little money with this earpiece.,0,Abusive/Hate/Threat
Very good phone.,1,Praise/Support
"Best of all is the rotating feature, very helpful.",1,Praise/Support
Comfort for our whole family.,1,Praise/Support
"Good product, good seller.",1,Praise/Support
I love this bluetooth!,1,Emotional
"First of all, it doesn't wear well.",0,Abusive/Hate/Threat
I am very impressed with this headset from Plantronics.,1,Praise/Support
I got it because it was so small and adorable.,1,Praise/Support
Great phone!.,1,Praise/Support
I wouldn't recommend buying this product.,0,Spam/Irrelevant
Piece of Junk.,0,Abusive/Hate/Threat
Poorly contstruct hinge.,0,Abusive/Hate/Threat
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,Praise/Support
Great Phone.,1,Praise/Support
Don't buy it.,0,Spam/Irrelevant
Excellent Phone.,1,Praise/Support
DO NOT PURCHASE THIS PHONE.,0,Abusive/Hate/Threat
The voice recognition thru the handset is excellent.,1,Praise/Support
This is hands down the best phone I've ever had.,1,Praise/Support
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,Praise/Support
This one works and was priced right.,1,Praise/Support
Customer service was terrible.,0,Abusive/Hate/Threat
Battery life still not long enough in Motorola Razor V3i.,0,Abusive/Hate/Threat
Sending it back.,0,Abusive/Hate/Threat
Now I know that I made a wise decision.,1,Praise/Support
Someone shouldve invented this sooner.,1,Praise/Support
Good price.,1,Praise/Support
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,Emotional
I received it quickly and it works great!!,1,Praise/Support
Has been working great.,1,Praise/Support
"As many people complained, I found this headset's microphone was very weak.",0,Abusive/Hate/Threat
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,Abusive/Hate/Threat
They do not care about the consumer one bit.,0,Abusive/Hate/Threat
"This is a good battery, and it got here really fast.",1,Praise/Support
The instruction manual is lacking.,0,Abusive/Hate/Threat
Also its slim enough to fit into my alarm clock docking station without removing the case.,1,Praise/Support
Phone now holds charge like it did when it was new.,1,Praise/Support
The battery is unreliable as well as the service use antena.,0,Abusive/Hate/Threat
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,Abusive/Hate/Threat
We have gotten a lot of compliments on it.,1,Praise/Support
This is definitely a must have if your state does not allow cell phone usage while driving.,1,Praise/Support
I want my money back.,0,Abusive/Hate/Threat
I love this device.,1,Emotional
I am also very happy with the price.,1,Praise/Support
I ordered this product first and was unhappy with it immediately.,0,Abusive/Hate/Threat
The Ngage is still lacking in earbuds.,0,Abusive/Hate/Threat
I was able to do voice dialing in the car with no problem.,1,Praise/Support
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,Constructive Criticism
"good item, low price.",1,Praise/Support
"However-the riingtones are not the best, and neither are the games.",0,Question/Suggestion
The plug did not work very well.,0,Abusive/Hate/Threat
AMAZON SUCKS.,0,Abusive/Hate/Threat
Rip off---- Over charge shipping.,0,Abusive/Hate/Threat
VERY comfortable.,1,Praise/Support
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,Praise/Support
The reception is excellent!,1,Praise/Support
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,Praise/Support
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,Praise/Support
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,Abusive/Hate/Threat
Obviously there is a problem with the adhesive.,0,Abusive/Hate/Threat
Very disappointing.,0,Abusive/Hate/Threat
"It was an inexpensive piece, but I would still have expected better quality.",0,Constructive Criticism
It is practically useless and did not add any kind of boost to my reception after I bought it.,0,Abusive/Hate/Threat
Excellent sound quality.,1,Praise/Support
Was not happy.,0,Abusive/Hate/Threat
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,Abusive/Hate/Threat
New Battery works great in phone.,1,Praise/Support
Worst customer service.,0,Abusive/Hate/Threat
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,Praise/Support
Reception is terrible and full of static.,0,Abusive/Hate/Threat
Good audio quality.,1,Praise/Support
This little device has transformed my organizational capability and made my life a whole lot easier.,1,Praise/Support
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,Abusive/Hate/Threat
Were JERKS on the phone.,0,Abusive/Hate/Threat
Works like a charm.. Works as advertised.,1,Praise/Support
"Comfortable, Nice Range, Good Battery Life.",1,Praise/Support
Their network coverage in Los Angeles is horrible.,0,Abusive/Hate/Threat
Excellent starter wireless headset.,0,Abusive/Hate/Threat
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,Abusive/Hate/Threat
The only thing that I think could improve is the sound leaks out from the headset.,0,Abusive/Hate/Threat
"First off the reception sucks, I have never had more than 2 bars, ever.",0,Abusive/Hate/Threat
The phone gets EXTREMELY HOT!,0,Abusive/Hate/Threat
"The microphone also works well, but (according to people I have called) it applifies everything.",1,Praise/Support
Nice design and quality.,1,Praise/Support
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,Abusive/Hate/Threat
"It is light, easy to use, and has very clear reception and transmission.",1,Emotional
"bad fit, way too big.",0,Abusive/Hate/Threat
It definitely was not as good as my S11.,1,Praise/Support
awesome device.,1,Praise/Support
Waste of money.,0,Abusive/Hate/Threat
"I had ordered a motorola data cable, got a very well finished and working product.",1,Praise/Support
Love This Phone.,1,Emotional
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1,Praise/Support
"I'll be drivng along, and my headset starts ringing for no reason.",0,Abusive/Hate/Threat
Display is excellent and camera is as good as any from that year.,1,Praise/Support
Battery life is also great!,1,Praise/Support
The worst phone I've ever had.... Only had it for a few months.,0,Abusive/Hate/Threat
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0,Abusive/Hate/Threat
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0,Abusive/Hate/Threat
Protects the phone on all sides.,1,Praise/Support
This is a VERY average phone with bad battery life that operates on a weak network.,0,Abusive/Hate/Threat
"Clear Skype Calls, Long Battery Life, Long Range.",1,Praise/Support
Soyo technology sucks.,0,Abusive/Hate/Threat
Great Hands Free Device.,1,Spam/Irrelevant
"you can even take self portraits with the outside (exterior) display, very cool.",1,Praise/Support
Same problem as others have mentioned.,0,Abusive/Hate/Threat
After trying many many handsfree gadgets this is the one that finally works well.,1,Spam/Irrelevant
Magical Help.,1,Praise/Support
The worst piece of crap ever along with the Verizon customer service.,0,Abusive/Hate/Threat
Poor sound quality.,0,Abusive/Hate/Threat
The best phone in market :).,1,Praise/Support
It worked very well.,1,Praise/Support
The company shipped my product very promptly and it works well.,1,Praise/Support
Exactly what I wanted.,1,Praise/Support
The picture resolution is far below what other comparably-priced phones are offering today.,0,Abusive/Hate/Threat
This is a great deal.,1,Praise/Support
"Excellent product, I am very satisfied with the purchase.",1,Praise/Support
I highly recommend these and encourage people to give them a try.,1,Praise/Support
Better than you'd expect.,1,Praise/Support
"Using all earpieces, left or right, this thing will not stay on my ear.",0,Abusive/Hate/Threat
Great product and price.,1,Praise/Support
"Sounds good reasonably priced and effective, Its that simple !",1,Praise/Support
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0,Abusive/Hate/Threat
what a disappointment,0,Abusive/Hate/Threat
Very prompt service.,1,Praise/Support
Excellent product for the price.,1,Praise/Support
Very pleased with this headset.,1,Praise/Support
don't waste your money and time.,0,Abusive/Hate/Threat
I especially love the long battery life.,1,Emotional
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,Spam/Irrelevant
Works great.,1,Praise/Support
Plantronics Bluetooth Excelent Buy.,1,Spam/Irrelevant
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0,Abusive/Hate/Threat
I'll be looking for a new earpiece.,0,Abusive/Hate/Threat
I highly recommend this device to everyone!,1,Praise/Support
Jawbone Era is awesome too!,1,Praise/Support
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0,Constructive Criticism
After a year the battery went completely dead on my headset.,0,Abusive/Hate/Threat
"I have used several phone in two years, but this one is the best.",1,Praise/Support
An Awesome New Look For Fall 2000!.,1,Praise/Support
This is the first phone I've had that has been so cheaply made.,0,Abusive/Hate/Threat
"Att is not clear, sound is very distorted and you have to yell when you talk.",0,Abusive/Hate/Threat
The plastic breaks really easy on this clip.,0,Abusive/Hate/Threat
Price is good too.,1,Praise/Support
Don't make the same mistake I did.,0,Abusive/Hate/Threat
Oh and I forgot to also mention the weird color effect it has on your phone.,0,Abusive/Hate/Threat
I'm using it with an iriver SPINN (with case) and it fits fine.,1,Praise/Support
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0,Abusive/Hate/Threat
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1,Praise/Support
"every thing on phone work perfectly, she like it.",1,Praise/Support
"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,Abusive/Hate/Threat
IT'S REALLY EASY.,1,Praise/Support
My Sanyo has survived dozens of drops on blacktop without ill effect.,1,Praise/Support
Fantastic earphones.,1,Praise/Support
It finds my cell phone right away when I enter the car.,1,Praise/Support
Low Quality.,0,Abusive/Hate/Threat
I highly recommend this modest priced cellular phone.,1,Praise/Support
But it does get better reception and clarity than any phone I've had before.,1,Praise/Support
Warning - Stay away.,0,Abusive/Hate/Threat
I wish I could return the unit and get back my money.,0,Abusive/Hate/Threat
Awsome Device Works Great!!.,1,Praise/Support
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0,Abusive/Hate/Threat
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0,Abusive/Hate/Threat
Very Displeased.,0,Abusive/Hate/Threat
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0,Spam/Irrelevant
They made this case too small and is very difficult to install.,0,Abusive/Hate/Threat
Restored my phone to like new performance.,1,Praise/Support
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1,Praise/Support
"I searched the Internet, and found this one to be the best value.",1,Praise/Support
Does not fit.,0,Abusive/Hate/Threat
Very happy with this product.,1,Praise/Support
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1,Praise/Support
There's really nothing bad I can say about this headset.,0,Abusive/Hate/Threat
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,Praise/Support
Portable and it works.,1,Praise/Support
"My colleague & I now get great reception.A little expensive, but performance is great.",1,Praise/Support
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0,Abusive/Hate/Threat
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0,Abusive/Hate/Threat
Not good when wearing a hat or sunglasses.,0,Abusive/Hate/Threat
Timely shipment and quality product.,1,Praise/Support
Nice solid keyboard.,1,Praise/Support
Very well made and fits my Surefire GX2 perfectly.,1,Praise/Support
Horrible phone.,0,Abusive/Hate/Threat
BT50 battery junk!.,0,Abusive/Hate/Threat
